Number,Sitename,Longitude,Latitude,City
466850,五分山雷達站,121.781205,25.071182,新北市
466880,板橋,121.442017,24.997647,新北市
466900,淡水,121.448906,25.164889,新北市
466910,鞍部,121.529731,25.182586,臺北市
466920,臺北,121.514853,25.037658,臺北市
466930,竹子湖,121.544547,25.162078,臺北市
466940,基隆,121.740475,25.133314,基隆市
466950,彭佳嶼,122.079744,25.627975,基隆市
C0A520,山佳,121.402008,24.974944,新北市
C0A530,坪林,121.709378,24.938203,新北市
C0A540,四堵,121.745894,24.892761,新北市
C0A550,泰平,121.823711,24.971197,新北市
C0A560,福山,121.502811,24.776203,新北市
C0A570,桶後,121.597992,24.848222,新北市
C0A640,石碇,121.662931,24.993858,新北市
C0A650,火燒寮,121.742892,25.002719,新北市
C0A660,瑞芳,121.801147,25.113169,新北市
C0A860,大坪,121.632969,25.165914,新北市
C0A870,五指山,121.608692,25.132153,新北市
C0A880,福隆,121.942083,25.017842,新北市
C0A890,雙溪,121.864242,25.036003,新北市
C0A920,富貴角,121.565258,25.263783,新北市
C0A931,三和,121.595236,25.233153,新北市
C0A940,金山,121.643967,25.223628,新北市
C0A950,鼻頭角,121.923372,25.129036,新北市
C0A970,三貂角,122.002058,25.007606,新北市
C0A980,社子,121.469681,25.109508,臺北市
C0A9C0,天母,121.537169,25.117494,臺北市
C0A9E0,士林,121.503019,25.090253,臺北市
C0A9F0,內湖,121.575450,25.079422,臺北市
C0AC40,大屯山,121.522408,25.175675,臺北市
C0AC60,三峽,121.369728,24.939025,新北市
C0AC70,信義,121.564597,25.037822,臺北市
C0AC80,文山,121.575728,25.002350,臺北市
C0ACA0,新莊,121.446756,25.051478,新北市
C0AD00,三芝,121.501917,25.258131,新北市
C0AD10,八里,121.403947,25.150211,新北市
C0AD30,蘆洲,121.472331,25.086594,新北市
C0AD40,土城,121.445169,24.973208,新北市
C0AD50,鶯歌,121.346294,24.951533,新北市
C0AG90,中和,121.490444,24.992647,新北市
C0AH00,汐止,121.658778,25.066881,新北市
C0AH10,永和,121.508111,25.011250,新北市
C0AH30,五分山,121.780794,25.071250,新北市
C0AH40,平等,121.577086,25.129142,臺北市
C0AH50,林口,121.380840,25.072181,新北市
C0AH70,松山,121.550420,25.048710,臺北市
C0AH80,深坑,121.628328,25.002703,新北市
C0AH90,福山植物園,121.581350,24.760717,新北市
C0AI00,五股,121.427280,25.074450,新北市
C0AI10,屈尺,121.544750,24.921840,新北市
C0AI20,白沙灣,121.519058,25.283128,新北市
C0AI30,三重,121.500629,25.057328,新北市
C0AI40,石牌,121.513167,25.115601,臺北市
C0B010,七堵,121.717130,25.094819,基隆市
C0B020,基隆嶼,121.783910,25.191410,基隆市